Algorithm	recommender	attack	iteration	eps	size	best	EFD_Top10	EPC_Top10	Gini_Top10	ICov_Top10	Prec_Top10	Recall_Top10	SE_Top10	UCov	nDCG_Top10
pgd230_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	230	1	full	0	0.000573000702808	4.43556219699391E-05	0.038813613248608	886	3.31125827814569E-05	0.000331125827815	7.44784957935322	6040	0.000208917136944
bim170_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	170	0.5	full	0	0.024669636703508	0.001663321956495	0.012503311258278	393.999999999999	0.002682119205298	0.02682119205298	5.92633739164263	6040	0.01295992678922
pgd90_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	90	0.5	full	0	0.030503529361753	0.002020658733091	0.011688232297504	440	0.003460264900662	0.034602649006623	5.7485731767045	6040	0.016100271122974
bim70_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	70	1	full	0	0.028074749241549	0.001857826009369	0.012689358393437	370.999999999999	0.003062913907285	0.030629139072848	5.93045161994696	6040	0.014824183773259
pgd30_ep3.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	30	3	full	0	0.022706902321002	0.001587692576258	0.013228767282444	387	0.002450331125828	0.024503311258278	6.00468617562115	6040	0.011749306813387
bim340_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	340	1	full	0	0	0	0.05360873528702	1175	0	0	7.83009355943945	6040	0
bim290_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	290	1	full	0	0.000494176755409	3.95595641375896E-05	0.053855734598851	1117	4.96688741721854E-05	0.000496688741722	7.84561062335049	6040	0.000189253465611
bim100_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	100	0.5	full	0	0.030304366992081	0.002003900713104	0.01183820861374	437	0.003394039735099	0.033940397350993	5.77680333572542	6040	0.016007979867502
bim320_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	bim	320	0.5	full	0	0.00201507134095	0.000162858940657	0.022446219981947	586	0.000149006622517	0.001490066225166	6.73086055774275	6040	0.000789904731504
pgd270_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	270	1	full	0	0	0	0.046594310534359	1032	0	0	7.64802336569943	6040	0
pgd290_ep1.0_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	290	1	full	0	0	0	0.048427925391676	1087	0	0	7.67960458277428	6040	0
pgd1_ep0.5_es4_szfull_apr_emb64_ep2000_eps0.5_fgsm_best0_top100_rec	apr_fgsm_eps0.5	pgd	1	0.5	full	0	0.079714650950973	0.005870283615373	0.034828556362889	990	0.008096026490066	0.080960264900662	7.20766790340412	6040	0.039432270601315
